cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id
Laval Judgment Lord,1,Ultra Rare,1st Edition,Starter Deck Fire,SDF-EN001,14047624,14047624
Mr. Volcano,1,Common,1st Edition,Starter Deck Fire,SDF-EN002,31477025,31477025
Aromage Bergamot,3,Common,1st Edition,Starter Deck Fire,SDF-EN003,85967160,85967160
Skull Dog Marron,3,Common,1st Edition,Starter Deck Fire,SDF-EN004,86652646,86652646
Flame Armor Ninja,3,Common,1st Edition,Starter Deck Fire,SDF-EN005,33034646,33034646
Flamvell Baby,3,Common,1st Edition,Starter Deck Fire,SDF-EN006,13761956,13761956
Master Kyonshee,3,Common,1st Edition,Starter Deck Fire,SDF-EN007,24530661,24530661
Darkfire Soldier #1,3,Common,1st Edition,Starter Deck Fire,SDF-EN008,5388481,5388481
Man-Eater Bug,3,Common,1st Edition,Starter Deck Fire,SDF-EN009,54652250,54652250
Nettles,3,Common,1st Edition,Starter Deck Fire,SDF-EN010,19505896,19505896
Berserk Gorilla,3,Common,1st Edition,Starter Deck Fire,SDF-EN011,39168895,39168895
Inferno,3,Common,1st Edition,Starter Deck Fire,SDF-EN012,74823665,74823665
Hinotama Soul,2,Common,1st Edition,Starter Deck Fire,SDF-EN013,96851799,96851799
Burning Spear,3,Common,1st Edition,Starter Deck Fire,SDF-EN014,18937875,18937875
Fissure,3,Common,1st Edition,Starter Deck Fire,SDF-EN015,66788016,66788016
Unexpected Dai,1,Super Rare,1st Edition,Starter Deck Fire,SDF-EN016,911883,911883
Widespread Ruin,1,Common,1st Edition,Starter Deck Fire,SDF-EN017,77754944,77754944
Sakuretsu Armor,1,Common,1st Edition,Starter Deck Fire,SDF-EN018,56120475,56120475
Trap Hole,3,Common,1st Edition,Starter Deck Fire,SDF-EN019,4206964,4206964
Reinforcements,3,Common,1st Edition,Starter Deck Fire,SDF-EN020,17814387,17814387
Michizure,3,Common,1st Edition,Starter Deck Fire,SDF-EN021,37580756,37580756
Raigeki Break,1,Common,1st Edition,Starter Deck Fire,SDF-EN022,4178474,4178474
Dust Tornado,3,Common,1st Edition,Starter Deck Fire,SDF-EN023,60082869,60082869
Blast with Chain,3,Common,1st Edition,Starter Deck Fire,SDF-EN024,98239899,98239899
Battle of the Elements,1,Common,1st Edition,Starter Deck Fire,SDF-EN025,60530944,60530944
Hi-Speedroid Puzzle,2,Common,1st Edition,Starter Deck Fire,SDF-EN026,86943389,86943389
Blackwing - Gram the Shining Star,2,Common,1st Edition,Starter Deck Fire,SDF-EN027,17377751,17377751
"Gaia Knight, the Force of Earth",2,Common,1st Edition,Starter Deck Fire,SDF-EN028,97204936,97204936
Scrap Archfiend,2,Common,1st Edition,Starter Deck Fire,SDF-EN029,45815891,45815891
Tilting Entrainment,2,Common,1st Edition,Starter Deck Fire,SDF-EN030,77855162,77855162
